LocalizedDisplayName,SoftwareVersion
Google Chrome 73.0.3683.103,73.0.3683.103
Google Chrome 74.0.3729.108,74.0.3729.108
Google Chrome 74.0.3729.131,74.0.3729.131
Citrix Receiver 14.8.0.1010,14.8.0.1010
Citrix Receiver 14.9.0.2539,14.9.0.2539
Microsoft CMTrace,5.0.8412.1000
Citrix Receiver LTSR 14.9.2000,14.9.2000
Citrix Receiver LTSR 14.9.3000,14.9.3000
Citrix Receiver LTSR 14.9.4000,14.9.4000
Citrix Receiver LTSR 14.9.5000,14.9.5000
Citrix Receiver LTSR 14.9.6000,14.9.6000
Adobe Acrobat Reader DC 18.11.2004,18.11.2004
Adobe Acrobat Reader DC 19.10.2009,19.10.2009
Adobe Acrobat Reader DC 19.10.20099,19.10.20099
Mozilla Firefox Quantum ESR 60.3.0,60.3.0
Mozilla Firefox Quantum ESR 60.6.1,60.6.1
Mozilla Firefox Quantum Developer Edition 67.0,67.0
Mozilla Firefox Quantum ESR 60.6.2,60.6.2
Adobe Flash Player ActiveX 32.0.0.156,32.0.0.156
Adobe Flash Player NPAPI 32.0.0.156,32.0.0.156
Adobe Flash Player ActiveX 32.0.0.171,32.0.0.171
Adobe Flash Player NPAPI 32.0.0.171,32.0.0.171
7-Zip 19.00,19.00
VLC Media Player 3.0.4,3.0.4
VLC Media Player 3.0.6,3.0.6
Microsoft Office Professional Plus 64-bit 2019,2019
Microsoft Office Professional Plus 32-bit 2019,2019
Microsoft Office Professional Plus 2016 (64-bit),2016
Microsoft Office Professional Plus 2016 (32-bit),2016
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
